Date,Open,High,Low,Close
9/17/2018,108570,108570,108570,108570
9/17/2018,108570,108580,108570,108580
9/17/2018,108580,108590,108570,108590
9/17/2018,108570,108570,108570,108570
9/17/2018,108570,108570,108570,108570
9/17/2018,108570,108580,108570,108580
9/17/2018,108580,108580,108570,108570
9/17/2018,108570,108570,108570,108570
9/17/2018,108570,108570,108560,108560
9/17/2018,108520,108520,108500,108500
9/17/2018,108500,108500,108470,108470
9/17/2018,108470,108470,108420,108430
9/17/2018,108460,108460,108430,108430
9/17/2018,108420,108420,108410,108410
9/17/2018,108460,108460,108460,108460
9/17/2018,108460,108460,108460,108460
9/17/2018,108470,108470,108470,108470
9/17/2018,108470,108470,108460,108470
9/17/2018,108440,108440,108410,108440
9/17/2018,108460,108460,108430,108430
9/17/2018,108410,108410,108410,108410
9/17/2018,108400,108400,108400,108400
9/17/2018,108410,108410,108370,108370
9/17/2018,108390,108390,108320,108350
9/17/2018,108330,108340,108320,108340
9/17/2018,108350,108380,108350,108350
9/17/2018,108350,108370,108350,108370
9/17/2018,108440,108500,108440,108500
9/17/2018,108460,108500,108460,108470
9/17/2018,108460,108470,108460,108470
9/17/2018,108430,108430,108430,108430
9/17/2018,108430,108430,108430,108430
9/17/2018,108430,108450,108430,108450
9/17/2018,108440,108440,108440,108440
9/17/2018,108430,108450,108430,108450
9/17/2018,108440,108460,108440,108460
9/17/2018,108420,108420,108420,108420
9/17/2018,108420,108450,108420,108450
9/17/2018,108450,108450,108450,108450
9/17/2018,108450,108450,108450,108450
9/17/2018,108450,108450,108420,108420
9/17/2018,108410,108450,108410,108450
9/17/2018,108440,108450,108440,108450
9/17/2018,108450,108480,108450,108480
9/17/2018,108480,108480,108460,108480
9/17/2018,108480,108490,108480,108490
9/17/2018,108490,108500,108480,108480
9/17/2018,108480,108540,108480,108530
